num,decisao,tag,titulo,justificativa
53,E,CE3,m-Learning in the Education of Multimedia Technologists and Designers at the University Level: A User Requirements Study,Estudo de requisitos via PD+UCD para m-learning. IEEE TLT. Limítrofe entre I e CE3.
98,E,CE3,Mapping Learning Objectives of Project-Based Undergraduate Software Engineering Courses to CC2020 Competency Model,Foco em currículo de SE não trata de ER <-> Design.
93,E,CE3,Massive open online courses in software engineering education,Foco em MOOCs em SE não trata de ER <-> Design.
160,E,CE1;CE7,Message from the ASE4Games 2021 Chairs,Mensagem dos chairs do workshop (1 página) - artigo de opinião/editorial.
121,E,CE2,mHealth4Afrika alpha validation in rural and deep rural clinics in Ethiopia Kenya Malawi and South Africa,"Versão anterior (alpha) do #117 - mesmos autores, projeto e abordagem. Manter apenas a versão beta (mais completa)."
196,E,CE3,Mobile application for monitoring oncológical treatments of children of the Carlos Portela Foundation,"Estudo de caso de app mobile para oncologia pediátrica foco no produto, sem discussão de ER <-> Design."
139,E,CI1;CE7,Modelling WS-RF based Enterprise Applications,2006 e 1 página. Fora do escopo (modelagem técnica de web services).
129,E,CE3,Modular exoskeleton design: Requirement engineering with KAOS,Aplica KAOS (técnica de RE) para design modular de exoesqueleto toca em RE para design mas integração com abordagens de design participativo/DT não é central.
126,E,CE3;CE7,Need Analysis for Community-Based Food Recommendation System,Análise de necessidades para recomendação alimentar comunitária. 4 páginas (CE7) e foco predominantemente no produto.
142,E,CE3,On Reconfiguration Theory of Discrete-Event Systems: From Initial Specification Until Final Deployment,Foco em sistemas reconfiguráveis de eventos discretos sem discussão de ER <-> Design.
227,E,CI1;CE3,On-line fault detection in a hardware/software co-design environment: system partitioning,Co-design HW/SW - fora do escopo. 2001 também viola CI1.
11,E,CE3,Online Learning Design for Fundamental Arabic Language with User-Centered Design Approach,"Aplicação de UCD em e-learning de árabe, foco em design do produto, não em ER."
66,E,CE3,Optimized multi-attribute co-design for maximizing efficiency in Wireless Sensor Networks,Co-design técnico em WSN não é Co-Design participativo. Fora do escopo.
65,E,CE3,Petri nets as supporting formalism within Embedded Systems Co-design,Co-design aqui é HW/SW co-design (embedded) não é Co-Design participativo.
208,E,CE7,Poster: An exploratory analysis to elicit requirements for avatar-based interfaces aimed at the deaf community,Poster (declarado no título) - CE7.
128,E,CE3,Prediction of Round-Trip Time in 5G NSA Networks in Urban Environment,Foco em ML para predição de RTT em 5G sem discussão de ER <-> Design.
91,E,CE3,Prioritizing Customer Requirements for Science and Technology Service Platform Based on Improved TF-IDF and Sentiment Analysis,Priorização de requisitos via NLP menciona UX mas não trata de integração com abordagens de design.
5,E,CE3,Producing Design Solutions for Vocabulary Game Using User Centered Design (UCD),"Estudo de caso aplicando UCD para criar jogo de vocabulário, não trata de ER."
85,E,CE3,Producing Successful Design Website of Video Based Learning in Hybrid Learning of Higher Education,Design de site de aprendizagem sem foco em ER.
146,E,CE3,Programming Situational Mobile Web Applications with Cloud-Mobile Convergence: An Internetware-Oriented Approach,Foco em abordagem Internetware para mobile web apps sem discussão de ER <-> Design.
213,E,CI1;CE7,Prototipação de software e design participativo: uma experiência do atlântico,Relato de prototipagem + PD para elicitação - relevante mas 2008 viola CI1 e 4 páginas.
97,E,CE3,QoE-Oriented Routing Mixing Application KPIs and Link Metrics Through Machine Learning,Foco em roteamento de rede orientado a QoE sem discussão de ER <-> Design.
35,E,CE3,Reimagining the Insulin Pump User Experience,Examina requisitos técnicos e UX para bomba de insulina toca em ER e UX mas em conferência STEM educacional. Limítrofe.
182,E,CE3,ReMoNo: Teaching Web Development Concepts with REquirements MOdeling and NO-Code Tools,Foco em ensinar web dev com modelagem de requisitos + no-code não trata da integração ER <-> Design.
113,E,CE3;CE7,Requirement Patterns for Multicore Systems,Discute RE para sistemas multicore co-design aqui é HW/SW. 2 páginas (short paper).
138,E,CE3,Responsible AI Engineering: The Case of an Inclusive Image Annotation Team,Aborda engenharia inclusiva de IA com equipe de anotação toca em design inclusivo. Limítrofe entre I (R3) e CE3.
73,E,CE7,Responsible use of AI in Software Solutions for Neurodiverse and Elderly Communities in the Nordic Countries,Extended abstract de 3 páginas.
57,E,CE3,Rich-IDM: Transforming the user experience of legacy applications,Foco em modernização técnica de aplicações legadas (RIA) não trata de ER nem integração com design.
83,E,CE3;CE7,SBI-Lab: Designing Sharia Business Incubator on Virtual Version for Developing Halal Product Competitiveness in Indonesia,Design de plataforma específica sem foco em ER. Também 4 páginas.
156,E,CE3,Scalable Video Streaming Solutions Using Federated Learning,Foco em FL para video streaming sem discussão de ER <-> Design.
6,E,CI1,Scenarios in user-centred design-setting the stage for reflection and action,Discute cenários em UCD - relevante conceitualmente mas é de 1999.
29,E,CE3,SecondLook: Participatory Design Process to Create a Phone App that Detects Digital Dating Abuse,Usa PD para criar app menciona elicitação via PD mas foco principal é o produto.
155,E,CI1,Service Mobility with SIP SDP and MPEG-21,"2007 viola CI1. Foco técnico em mobility de serviços multimídia, fora do escopo."
105,E,CI1,Shaping requirements for institutional Web applications: experience from an industrial project,Combina AWARE (RE) + W2000 (UCD) - altamente relevante para R1/R4 mas é de 2005.
106,E,CE3,Smart Sensors in the Design of a Medication Management System: Enhancing Patient Autonomy,Foco no design técnico de protótipo físico de dispenser sem discussão de ER <-> Design.
222,E,CE7,Software design and media design: tools to design mobile and sensory interfaces and interactive environments,"2 páginas (short paper). Propõe co-design, sensory labs e living labs para meet user requirements."
31,E,CI1,System documentation and system design: a good reason for designing the manual first,Discute UCD aplicado a design e documentação relevante mas é de 1993.
230,E,CI1;CE3,Teach real-time embedded system online with real hands-on labs,Ensino de embedded systems - fora do escopo. 2009 viola CI1. 1 página.
143,E,CE3,The Design and Implementation of AI Based Smart Notice Board Using Advanced Machine Learning and Image Processing Techniques,Estudo de caso técnico de notice board com IA sem discussão de ER <-> Design.
61,E,CI1,The efficacy of narrative video for raising awareness in ICT designers about older users' requirements,Discute comunicação de requisitos via vídeo narrativo 2007.
161,E,CE1;CE7,The engineering aspects of product design [review of Human Factors and Ergonomics in Consumer Product Design],Resenha de livro (book review) de 2 páginas - artigo de opinião.
107,E,CE3,The Role of AI in Predictive UX Shaping the Future of Metaverse Interactions,Foco em UX preditivo via IA no metaverso não trata de ER nem integração com abordagens de design.
218,E,CE2,The role of design thinking and physical prototyping in social software engineering,"Duplicata do #27 (mesmo título, autores, ano, ICSE 2015)."
132,E,CE3,Three-Dimensional Media for Mobile Devices,Combina conhecimento do sistema visual humano com user requirements para 3D media via framework user-centered. IEEE Proceedings. Limítrofe.
110,E,CE3,Towards Design and Implementation of an Interactive System for Real-Time Monitoring of Domestic Energy Consumption,"Estudo de caso de design de sistema interativo foco no produto, sem discussão de ER."
104,E,CE3,Usability Testing in Kanban Agile Process for Club Management System,Foco em usability testing em Kanban não trata centralmente da integração ER <-> Design.
68,E,CE3,User Experience Evaluation of Chinese Travel App Software,Avaliação de UX em apps de viagem sem discussão de ER nem integração.
55,E,CE3,User experience to improve the usability of a vision-based interface,Foco em interface vision-based para usuários com deficiência motora sem discussão de processo ER.
13,E,CI1,User Needs Analysis and requirements engineering: Theory and practice,Discute UCD <-> ER fortemente (responderia R1/R5) mas é de 2006.
202,E,CE3,User Requirements Analysis of Government Data Open Platform Based on Text Mining,Análise de user requirements via text mining em plataformas governamentais foco em método de NLP sem integração com abordagens de design.
69,E,CI1,User-centered development of a pervasive healthcare application,2006 viola CI1.
71,E,CE2,User-centered development of a pervasive healthcare application,Duplicata exata do #69.
215,E,CE7,User-centric security: optimization of the security-usability trade-off,4 páginas (short paper). Aborda envolvimento de usuários para balancear segurança e usabilidade.
19,E,CE3,Visual Requirements Specification and Automated Test Generation for Digital Applications,"Aborda especificação visual de requisitos (Pretotyping), toca em ER+UX mas foco parece ser geração de testes."
153,E,CE3,VocalEyes: Enhancing Environmental Perception for the Visually Impaired through Vision-Language Models and Distance-Aware Object Detection,Estudo de caso técnico de sistema assistivo via VLMs sem discussão de ER <-> Design.
75,E,CE3,VOYAGER – Smart Travel Guidance Cross Platform Mobile Application,Estudo de caso de app turística sem discussão de ER <-> Design.
30,E,CE7,Web-based Stakeholder Participation in Distributed Requirements Elicitation,Combina PD + Social Web + Semantic Collaboration para elicitação. Abstract indica que é poster - verificar paginação.
52,E,CE3,Website user experience (UX) testing tool development using Open Source Software (OSS),Foco em ferramenta de teste de UX (URANUS) não trata da integração ER <-> Design.
60,E,CE3,WellnessWise: User Experience Design of the Proposed Mobile Application for Physical and Mental Health Self-Care,Estudo de caso de DT para criar app de wellness foco no produto.
