doi,openalex_id,title,venue,year,citations_count,is_oa,oa_status
10.1109/sccc59417.2023.10315696,https://openalex.org/W4388692815,Jul@ - A web app to support the political participation of adolescents and young adults in rural areas,2023 42nd IEEE International Conference of the Chilean Computer Science Society (SCCC),2023,0,False,closed
10.1109/espre.2018.00008,https://openalex.org/W2897568996,The Importance of Empathy for Analyzing Privacy Requirements,2018 IEEE 5th International Workshop on Evolving Security & Privacy Requirements Engineering (ESPRE),2018,28,False,closed
10.1109/biorob.2016.7523756,https://openalex.org/W2482133611,Modular exoskeleton design: Requirement engineering with KAOS,2016 6th IEEE International Conference on Biomedical Robotics and Biomechatronics (BioRob),2016,10,False,closed
10.1145/3524613.3527814,https://openalex.org/W4313016430,Characterizing human aspects in reviews of COVID-19 apps,2022 IEEE/ACM 9th International Conference on Mobile Software Engineering and Systems (MobileSoft),2022,17,True,green
10.1109/ghtc.2017.8239347,https://openalex.org/W2778918034,mHealth4Afrika alpha validation in rural and deep rural clinics in Ethiopia  Kenya  Malawi and South Africa,2017 IEEE Global Humanitarian Technology Conference (GHTC),2017,9,False,closed
10.1109/sieds55548.2022.9799374,https://openalex.org/W4283453201,Developing a Multimodal Entertainment Tool with Intuitive Navigation  Hands-Free Control  and Avatar Features  to Increase User Interactivity,2022 Systems and Information Engineering Design Symposium (SIEDS),2022,3,False,closed
10.1109/gcitc60406.2023.10425984,https://openalex.org/W4394940631,Exploring Societal Health Insights: Decentralized Distributed Topic Modeling,2023 Global Conference on Information Technologies and Communications (GCITC),2023,0,False,closed
10.1109/clei64178.2024.10700441,https://openalex.org/W4403212548,Proposal for Validating a Requirement Elicitation Process Using Action-Research,2024 L Latin American Computer Conference (CLEI),2024,0,False,closed
10.1109/sieds.2009.5166168,https://openalex.org/W2113401413,&amp;#x201C;A peaceful revolution&amp;#x201C;: Community planning and water system assessment in San Lucas Tolim&amp;#x00E1;n  Guatemala,2009 Systems and Information Engineering Design Symposium,2009,1,False,closed
10.1109/eurdac.1996.558217,https://openalex.org/W4229716199,CAD of microsystems-a challenge for systems engineering,Proceedings EURO-DAC '96. European Design Automation Conference with EURO-VHDL '96 and Exhibition,2002,2,False,closed
10.1109/sbcci.2000.876059,https://openalex.org/W4234049227,Design and simulation of heterogeneous embedded systems,Proceedings 13th Symposium on Integrated Circuits and Systems Design (Cat. No.PR00843),2002,1,False,closed
10.1109/jproc.2010.2103290,https://openalex.org/W1967653803,Three-Dimensional Media for Mobile Devices,Proceedings of the IEEE,2011,42,True,green
10.1109/weef.2017.8466972,https://openalex.org/W2893563056,Beyond ePortfolios: Creating  Exploiting  and Archiving Activity Traces  Learning Outcomes  and Learning Analytics as Personal Shareable Online Spaces,2017 7th World Engineering Education Forum (WEEF),2017,4,True,green
10.1109/icacdot.2016.7877768,https://openalex.org/W2599416860,A survey of Cloud Auction mechanisms &amp; decision making in Cloud Market to achieve highest resource &amp; cost efficiency,2016 International Conference on Automatic Control and Dynamic Optimization Techniques (ICACDOT),2016,6,False,closed
10.1109/re.2010.55,https://openalex.org/W2085479756,An Introduction to Experience Requirements,2010 18th IEEE International Requirements Engineering Conference,2010,16,False,closed
10.1109/fie61694.2024.10893051,https://openalex.org/W4407950998,Socially Aware Design Workshop to Discover Socio-Technical Requirements: Planning  Execution  and Results,2024 IEEE Frontiers in Education Conference (FIE),2024,0,False,closed
10.13052/jmm1550-4646.1917,https://openalex.org/W4303685947,From QoS to QoE plus QoT in Beyond 5G Networks,Journal of Mobile Multimedia,2022,1,True,diamond
10.1109/tsc.2016.2587260,https://openalex.org/W2473476112,Programming Situational Mobile Web Applications with Cloud-Mobile Convergence: An Internetware-Oriented Approach,IEEE Transactions on Services Computing,2016,68,False,closed
10.1109/iccica67008.2025.11337815,https://openalex.org/W7124941355,Developing a Unified Framework Integrating Web Engineering and SDLC Methodologies,2025 2nd International Conference on Computational Intelligence and Computing Applications (ICCICA),2025,0,False,closed
10.1109/re54965.2022.00022,https://openalex.org/W4312901447,The Implications of ‘Soft’ Requirements,2022 IEEE 30th International Requirements Engineering Conference (RE),2022,8,True,green
10.1109/csnt64827.2025.10968800,https://openalex.org/W4409724064,Building Secure and Decentralized Survey Methodology: A Comprehensive Solution with FIDO2 Authentication and Fluree,2025 IEEE 14th International Conference on Communication Systems and Network Technologies (CSNT),2025,0,False,closed
10.1109/rew.2019.00018,https://openalex.org/W2994678248,On the Road to Enriching the App Improvement Process with Emotions,2019 IEEE 27th International Requirements Engineering Conference Workshops (REW),2019,6,False,closed
10.1109/icitee62483.2024.10808311,https://openalex.org/W4405845668,Design and Implementation of a Dashboard System for Monitoring Key Performance Indicators in Digitalized Higher Education Institutions: A Case Study,2024 16th International Conference on Information Technology and Electrical Engineering (ICITEE),2024,1,False,closed
10.1109/tmc.2024.3412810,https://openalex.org/W4399618835,An Efficient Resource Allocation Scheme With Uncertain Network Status in Edge Computing-Enabled Networks,IEEE Transactions on Mobile Computing,2024,4,False,closed
10.1109/intellisecai66368.2025.11473100,https://openalex.org/W7154511981,A Systematic Review of Chatbot Development: Technological Advancements  Applications  and Quality Attributes,2025 International Conference on Computational Intelligence  Security  and Artificial Intelligence (IntelliSecAI),2025,0,False,closed
10.1109/asew52652.2021.00008,https://openalex.org/W4206942278,Message from the ASE4Games 2021 Chairs,2021 36th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW),2021,0,True,gold
10.1109/mce.2011.2172513,https://openalex.org/W2056578055,The engineering aspects of product design [review of "Human Factors and Ergonomics in Consumer Product Design: Uses and Applications" (Karwowski  W.  Eds. et al; 2011)],IEEE Consumer Electronics Magazine,2011,1,False,closed
10.1109/snpd.2007.553,https://openalex.org/W2163880630,Eighth ACIS International Conference on Software Engineering  Artificial Intelligence  Networking  and Parallel/Distributed Computing-Title,Eighth ACIS International Conference on Software Engineering  Artificial Intelligence  Networking  and Parallel/Distributed Computing (SNPD 2007),2007,1,False,closed
10.1109/mce.2011.2172512,https://openalex.org/W2093363718,Human Factors and Ergonomics [review of "Human Factors and Ergonomics in Consumer Product Design: Methods and Techniques" (Karwpwski  W.  Eds. et al; 2011)],IEEE Consumer Electronics Magazine,2011,0,False,closed
10.1145/3701625.3701635,https://openalex.org/W4405671559,Application of human-centered design practices in the agile requirements engineering process: a case study in a public company,,2024,1,False,closed
10.1145/3749012.3749051,https://openalex.org/W4414277132,CiApplication: A User-centered Web App for Postoperative Cochlear Implant Rehabilitation,,2025,0,True,gold
10.1145/3334480.3375178,https://openalex.org/W3024373256,Automation Experience across Domains: Designing for Intelligibility  Interventions  Interplay and Integrity,,2020,10,True,green
10.1145/2971485.2996735,https://openalex.org/W2536452367,Historytelling,,2016,22,False,closed
10.1145/3328778.3372522,https://openalex.org/W3009262982,From Human-Computer Interaction to User Experience,,2020,0,False,closed
10.1145/3369457.3369507,https://openalex.org/W3000173496,Designing a User-Centered Interactive Data-Storytelling Framework,,2019,10,True,green
10.1145/1056808.1056813,https://openalex.org/W1992190489,Looking back at plan AHEAD™,,2005,4,False,closed
10.1145/3696630.3731668,,Clash of Requirements: Users First vs. Model First,,2025,0,False,
10.1145/1738826.1738889,https://openalex.org/W2024112587,Experimenting with the use of persona in a focus group discussion with older adults in Malaysia,,2009,25,False,closed
10.1145/3770762.3772579,https://openalex.org/W7128819766,Evaluating the Impact of Accessibility Testing Tool Usage Across the Software Development Lifecycle in Student Projects,,2026,0,True,gold
10.1145/3571473.3571483,https://openalex.org/W4318256801,Design for IoT: An Experimental Study to Understand How Design Thinking Can Help in the Elicitation of Requirements for IoT Systems,,2022,10,False,closed
10.1145/568760.568788,https://openalex.org/W2053107305,Learning organizational knowledge,,2002,8,False,closed
10.1145/3706598.3714168,https://openalex.org/W4409884207,How Should We Design Technology With Diverse Stakeholders Who Wish Not to Attend Design Activities Together?,,2025,3,True,gold
10.1145/3397537.3398472,https://openalex.org/W3047622476,Towards requirements engineering with immersive augmented reality,,2020,5,False,closed
10.14236/ewic/bcshci2025.16,https://openalex.org/W7117100265,Co-Designing Augmented Paper for Health Education with Older Adults,Electronic workshops in computing,2025,0,True,hybrid
10.1145/3592813.3592903,https://openalex.org/W4382052253,Discovery of socio-technical requirements for the design of a digital educational game,,2023,3,False,closed
10.1145/3233824.3233856,https://openalex.org/W2885104324,Mobile application for monitoring oncological treatments of children of the Carlos Portela Foundation,,2018,0,False,closed
10.1145/3403746.3403902,https://openalex.org/W3038155478,Integrating Design Thinking into Scrum Framework in the Context of Requirements Engineering Management,,2020,24,False,closed
10.1145/3747912.3747948,https://openalex.org/W4413739944,AHP Hierarchical Analysis based Intelligent Jump Rope Design Research,,2025,0,True,gold
10.1145/3563137.3563157,https://openalex.org/W4378212457,Development of a flexible and interoperable architecture to customize clinical solutions targeting the care of multimorbid patients,,2022,5,True,gold
10.1145/3293614.3293643,https://openalex.org/W2937365439,Study about software project management with Design Thinking,,2018,7,False,closed
10.1145/3554364.3561829,https://openalex.org/W4307320823,Investigating the use of UAUDG-VI in the mobile applications design for visually impaired considering accessibility  usability and UX,,2022,4,False,closed
10.1145/3708036.3708206,https://openalex.org/W4406667517,User Requirements Analysis of Government Data Open Platform Based on Text Mining,,2024,0,False,closed
10.1145/3266237.3266246,https://openalex.org/W2890629772,An experience report on teaching multiple design thinking techniques to software engineering students,,2018,10,False,closed
10.1145/3677779.3677826,https://openalex.org/W4402666291,Interactive design method based on computer graphics technology in digital media art,,2024,1,True,gold
10.1145/2637248.2637252,https://openalex.org/W2060857760,Low Cost User Experience (UX) Design,,2014,0,False,closed
10.1145/3757232.3757246,https://openalex.org/W4415870544,Designing Adaptive Career Recommender Interfaces: Insights from South African University Students,,2025,0,True,gold
10.1145/3605390.3610816,https://openalex.org/W4386730491,Poster: An exploratory analysis to elicit requirements for avatar-based interfaces aimed at the deaf community,,2023,1,False,closed
10.1145/3613372.3614188,https://openalex.org/W4387008176,An Experience Report on the use of Problem-based learning and Design Thinking in a Requirements Engineering Postgraduate Course,,2023,7,False,closed
10.1145/3638067.3638109,https://openalex.org/W4391183982,UX-MAPPER: A User eXperience Method to Analyze App Store Reviews,,2023,7,False,closed
10.1145/3266237.3266268,https://openalex.org/W2890704213,The contribution of non-technical stakeholders on the specification of UX requirements,,2018,6,False,closed
10.1145/2414536.2414579,https://openalex.org/W2070913791,A scenario- and observation-based requirement analysis for delivery of remote mining services,,2012,2,True,green
10.1145/3643542,https://openalex.org/W4392519793,CrossGAI,Proceedings of the ACM on Interactive Mobile Wearable and Ubiquitous Technologies,2024,20,False,closed
10.1145/2786805.2803195,https://openalex.org/W1989164935,User-centric security: optimization of the security-usability trade-off,,2015,9,False,closed
10.1145/1982185.1982338,https://openalex.org/W1990570457,Analyzing value co-creation in service systems,,2011,5,False,closed
10.1145/3173225.3173267,https://openalex.org/W2790976265,NewsThings,,2018,4,False,closed
10.1145/2044354.2044386,https://openalex.org/W2075363809,Designing affective animations with children as design partners using role-playing,,2011,6,False,closed
10.1145/2700648.2811360,https://openalex.org/W2066384407,An Investigation into Appropriation of Portable Smart Devices by Users with Aphasia,,2015,2,False,closed
10.1145/2074712.2074778,https://openalex.org/W2161293580,Software design and media design,,2011,3,False,closed
10.1145/2381416.2381451,https://openalex.org/W1972813419,Integrating mobile devices into the car ecosystem,,2011,2,False,closed
10.1145/2602299.2602301,https://openalex.org/W2013828669,Design and evaluation of a children's tablet video application,,2014,5,False,closed
10.1145/500001.500013,https://openalex.org/W2152807682,On-line fault detection in a hardware/software co-design environment,,2001,3,False,closed
10.1145/1562877.1563009,https://openalex.org/W2019516345,Teach real-time embedded system online with real hands-on labs,,2009,2,False,closed
10.1145/347642.347719,https://openalex.org/W2007214942,Bridge for buttons - a GUI design methodology applied in non-GUI consumer product design,,2000,0,True,gold
10.1145/329458.329465,https://openalex.org/W2056533513,CMAPS,ACM Transactions on Design Automation of Electronic Systems,2000,25,True,bronze
,https://openalex.org/W2132625549,System documentation and system design: a good reason for designing the manual first,,1993,4,False,closed
